name,alt_standard_price,default_code,profit_margin_1,profit_margin_2,profit_margin_3,profit_margin_4,freight_1,freight_2,freight_3,freight_4
Orificio coldtech no 05 r-12 2.0 ton r-22 3.0 ton,"2,34",12560020,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio coldtech no 06 r-12 3.0 ton r-22 4.5 ton,"2,34",12560021,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio cowpland no 04 r-404 r-22 2 ton,"2,34",12560029,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio cowpland no 05 r-404 r-22 3 ton,"2,34",12560030,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 00 r-12 0.2 ton r-22 0.3 ton,10,12560001,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 01 r-12 0.3 ton r-22 0.7 ton,"11,86",12560002,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 02 r-12 0.5 ton r-22 1.0 ton,"11,86",12560003,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 03 r-12 1.0 ton r-22 1.5 ton,"11,86",12560005,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 04 r-12 1.5 ton r-22 2.3 ton,"11,77",12560006,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 05 r-12 2.0 ton r-22 3.0 ton,"11,77",12560007,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio danfoss no 06 r-12 3.0 ton r-22 4.5 ton,"11,77",12560008,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio emerson no 02 r-404 1 ton,"11,34",12560032,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio emerson no 03 r-404 1.5 ton,"11,34",12560022,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio emerson no 04 r-404 2.0 ton,"11,34",12560023,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
Orificio everwell no 01,4,12560033,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
