id,default_code
__export__.product_template_8455_2ef14919,12160017
__export__.product_template_8473_44f31e5c,12160075
__export__.product_template_8467_f447bd7a,12160028
__export__.product_template_8474_3fdeb22d,12160078
__export__.product_template_8450_444a29fc,12160007
__export__.product_template_8451_c4843ffe,12160011
__export__.product_template_4504_905090ec,01260001
__export__.product_template_4505_8bc08790,01260002
__export__.product_template_4506_3f598460,01260003
__export__.product_template_4507_e79bcbd2,01260004
__export__.product_template_4508_fb9f3333,01260005
__export__.product_template_4468_950c9e83,01240001
__export__.product_template_4497_64c09998,01240035
__export__.product_template_4469_91cc5534,01240002
__export__.product_template_4485_af4b2f12,01240021
__export__.product_template_4470_3c422a6d,01240003
__export__.product_template_4486_f07e7e3c,01240022
__export__.product_template_4471_3bc0dc17,01240004
__export__.product_template_4493_4b245e0b,01240030
__export__.product_template_4472_e2af33fd,01240005
__export__.product_template_4488_48023294,01240024
__export__.product_template_4495_e070a5d1,01240033
__export__.product_template_4496_1a9831c0,01240034
__export__.product_template_4499_ae24d92c,01240037
__export__.product_template_4473_cc40e508,01240007
__export__.product_template_4489_9d42bf40,01240025
__export__.product_template_4503_18b9e062,01240041
__export__.product_template_4474_a7f36107,01240008
__export__.product_template_4475_41494ea5,01240009
__export__.product_template_4492_11ffd094,01240029
__export__.product_template_4478_bef26c40,01240012
__export__.product_template_4476_f64e7cca,01240010
__export__.product_template_4477_ee10c431,01240011
__export__.product_template_4501_48c81e6f,01240039
__export__.product_template_4498_a2ab53a5,01240036
__export__.product_template_4487_f98fe941,01240023
__export__.product_template_4490_ea43a157,01240026
__export__.product_template_4479_11f99b60,01240013
__export__.product_template_4502_4ebd3ddb,01240040
__export__.product_template_4494_aa27b202,01240031
__export__.product_template_4481_86fe0f96,01240015
__export__.product_template_4482_3f8a4759,01240016
__export__.product_template_4491_fbf4df71,01240028
__export__.product_template_4480_eb18988e,01240014
__export__.product_template_4483_5e9c9cbe,01240017
__export__.product_template_4500_1e5da5bb,01240038
__export__.product_template_4484_84e15c6d,01240018
__export__.product_template_4509_8f687b9a,01260006
__export__.product_template_4510_6bdd378e,01260007
__export__.product_template_4513_b4aa7193,01260010
__export__.product_template_4511_94676abc,01260008
__export__.product_template_4512_ba2325e4,01260009
__export__.product_template_4514_e91c8ddf,01260011
__export__.product_template_4516_4a3dd35e,01260013
__export__.product_template_4515_15cbfe07,01260012
__export__.product_template_4517_9ae9ca24,01260014
__export__.product_template_4523_da77e30e,01260021
